rank,film_title,film_year,film_rating,link_url
253,Before Sunrise,1995,8.1,https://www.imdb.com/title/tt0112471/
254,Three Colours: Red,1994,8.1,https://www.imdb.com/title/tt0111495/
255,Chungking Express,1994,8.1,https://www.imdb.com/title/tt0109424/
256,Jurassic Park,1993,8.1,https://www.imdb.com/title/tt0107290/
257,In the Name of the Father,1993,8.1,https://www.imdb.com/title/tt0107207/
258,Raise the Red Lantern,1991,8.1,https://www.imdb.com/title/tt0101640/
259,Dead Poets Society,1989,8.1,https://www.imdb.com/title/tt0097165/
260,The Princess Bride,1987,8.1,https://www.imdb.com/title/tt0093779/
261,Stand by Me,1986,8.1,https://www.imdb.com/title/tt0092005/
262,Platoon,1986,8.1,https://www.imdb.com/title/tt0091763/
263,"Paris, Texas",1984,8.1,https://www.imdb.com/title/tt0087884/
264,Nausicaä of the Valley of the Wind,1984,8.1,https://www.imdb.com/title/tt0087544/
265,The Thing,1982,8.1,https://www.imdb.com/title/tt0084787/
266,Fitzcarraldo,1982,8.1,https://www.imdb.com/title/tt0083946/
267,Fanny and Alexander,1982,8.1,https://www.imdb.com/title/tt0083922/
268,Blade Runner,1982,8.1,https://www.imdb.com/title/tt0083658/
269,The Elephant Man,1980,8.1,https://www.imdb.com/title/tt0080678/
270,Monty Python's Life of Brian,1979,8.1,https://www.imdb.com/title/tt0079470/
271,The Deer Hunter,1978,8.1,https://www.imdb.com/title/tt0077416/
272,Rocky,1976,8.1,https://www.imdb.com/title/tt0075148/
273,Network,1976,8.1,https://www.imdb.com/title/tt0074958/
274,Barry Lyndon,1975,8.1,https://www.imdb.com/title/tt0072684/
275,Mirror,1975,8.1,https://www.imdb.com/title/tt0072443/
276,Paper Moon,1973,8.1,https://www.imdb.com/title/tt0070510/
277,Cries and Whispers,1972,8.1,https://www.imdb.com/title/tt0069467/
278,Solaris,1972,8.1,https://www.imdb.com/title/tt0069293/
279,Le samouraï,1967,8.1,https://www.imdb.com/title/tt0062229/
280,Cool Hand Luke,1967,8.1,https://www.imdb.com/title/tt0061512/
281,Persona,1966,8.1,https://www.imdb.com/title/tt0060827/
282,Andrei Rublev,1966,8.1,https://www.imdb.com/title/tt0060107/
283,The Battle of Algiers,1966,8.1,https://www.imdb.com/title/tt0058946/
284,El ángel exterminador,1962,8.1,https://www.imdb.com/title/tt0056732/
285,What Ever Happened to Baby Jane?,1962,8.1,https://www.imdb.com/title/tt0056687/
286,Sanjuro,1962,8.1,https://www.imdb.com/title/tt0056443/
287,The Man Who Shot Liberty Valance,1962,8.1,https://www.imdb.com/title/tt0056217/
288,Ivan's Childhood,1962,8.1,https://www.imdb.com/title/tt0056111/
289,The Virgin Spring,1960,8.1,https://www.imdb.com/title/tt0053976/
290,Inherit the Wind,1960,8.1,https://www.imdb.com/title/tt0053946/
291,The 400 Blows,1959,8.1,https://www.imdb.com/title/tt0053198/
292,Ben-Hur,1959,8.1,https://www.imdb.com/title/tt0052618/
293,The Hidden Fortress,1958,8.1,https://www.imdb.com/title/tt0051808/
294,Sweet Smell of Success,1957,8.1,https://www.imdb.com/title/tt0051036/
295,Nights of Cabiria,1957,8.1,https://www.imdb.com/title/tt0050783/
296,Throne of Blood,1957,8.1,https://www.imdb.com/title/tt0050613/
297,The Bridge on the River Kwai,1957,8.1,https://www.imdb.com/title/tt0050212/
298,On the Waterfront,1954,8.1,https://www.imdb.com/title/tt0047296/
299,The Wages of Fear,1953,8.1,https://www.imdb.com/title/tt0046268/
300,Ace in the Hole,1951,8.1,https://www.imdb.com/title/tt0043338/
301,White Heat,1949,8.1,https://www.imdb.com/title/tt0042041/
302,The Third Man,1949,8.1,https://www.imdb.com/title/tt0041959/
303,The Red Shoes,1948,8.1,https://www.imdb.com/title/tt0040725/
304,The Shop Around the Corner,1940,8.1,https://www.imdb.com/title/tt0033045/
305,Rebecca,1940,8.1,https://www.imdb.com/title/tt0032976/
306,Mr. Smith Goes to Washington,1939,8.1,https://www.imdb.com/title/tt0031679/
307,Gone with the Wind,1939,8.1,https://www.imdb.com/title/tt0031381/
308,La Grande Illusion,1937,8.1,https://www.imdb.com/title/tt0028950/
309,It Happened One Night,1934,8.1,https://www.imdb.com/title/tt0025316/
310,The Passion of Joan of Arc,1928,8.1,https://www.imdb.com/title/tt0019254/
311,Sunrise: A Song of Two Humans,1927,8.1,https://www.imdb.com/title/tt0018455/
312,The General,1926,8.1,https://www.imdb.com/title/tt0017925/
